130 8385
4 30 276
4 31 171
4 32 418
4 33 157
4 34 196
4 35 50
4 36 416
4 37 120
4 38 148
4 39 232
4 40 127
4 41 244
4 42 82
4 43 281
4 44 85
4 45 343
4 46 105
4 47 128
4 48 418
4 49 153
4 50 159
4 51 125
4 52 349
4 53 129
4 54 90
4 55 166
4 56 359
4 57 388
4 58 148
4 59 296
4 60 138
4 61 411
4 62 323
4 63 370
4 64 504
4 65 327
4 66 454
4 67 243
4 68 375
4 69 524
4 70 387
4 71 218
4 72 213
4 73 272
4 74 317
4 75 323
4 76 375
4 77 330
4 78 327
4 79 179
4 80 102
4 81 270
4 82 427
4 83 263
4 84 419
4 85 405
4 86 567
4 87 244
4 88 514
4 89 299
4 90 375
4 91 284
4 92 198
4 93 83
4 94 319
4 95 197
4 96 232
4 97 412
4 98 368
4 99 296
4 100 180
4 101 489
4 102 294
4 103 319
4 104 277
4 105 307
4 106 99
4 107 308
4 108 189
4 109 406
4 110 328
4 111 507
4 112 292
4 113 405
4 114 218
4 115 337
4 116 185
4 117 258
4 118 85
4 119 435
4 120 142
4 121 265
4 122 173
4 123 505
4 124 419
4 125 382
4 126 221
4 127 296
4 128 303
4 129 386
4 130 183
5 6 649
5 7 328
5 8 302
5 9 696
5 10 555
5 11 31
5 12 536
5 13 519
5 14 548
5 15 417
5 16 86
5 17 311
5 18 306
5 19 366
5 20 345
5 21 368
5 22 433
5 23 460
5 24 433
5 25 442
5 26 264
5 27 346
5 28 177
5 29 447
5 30 298
5 31 328
5 32 508
5 33 383
5 34 295
5 35 355
5 36 526
5 37 434
5 38 490
5 39 177
5 40 454
5 41 160
5 42 476
5 43 322
5 44 460
5 45 63
5 46 320
5 47 453
5 48 432
5 49 553
5 50 248
5 51 519
5 52 683
5 53 533
5 54 335
5 55 528
5 56 656
5 57 688
5 58 547
5 59 320
5 60 532
5 61 105
5 62 129
5 63 353
5 64 228
5 65 627
5 66 377
5 67 528
5 68 389
5 69 248
5 70 299
5 71 189
5 72 612
5 73 624
5 74 662
5 75 665
5 76 65
5 77 538
5 78 412
5 79 457
5 80 313
5 81 532
5 82 698
5 83 246
5 84 528
5 85 347
5 86 305
5 87 536
5 88 275
5 89 430
5 90 332
5 91 686
5 92 564
5 93 402
5 94 469
5 95 454
5 96 519
5 97 290
5 98 422
5 99 658
5 100 377
5 101 722
5 102 661
5 103 563
5 104 286
5 105 128
5 106 488
5 107 281
5 108 300
5 109 79
5 110 410
5 111 717
5 112 152
5 113 501
5 114 284
5 115 179
5 116 426
5 117 186
5 118 324
5 119 574
5 120 546
5 121 379
5 122 514
5 123 719
5 124 190
5 125 330
5 126 322
5 127 247
5 128 112
5 129 167
5 130 222
6 7 719
6 8 360
6 9 474
6 10 136
6 11 664
6 12 410
6 13 204
6 14 139
6 15 463
6 16 563
6 17 435
6 18 347
6 19 477
6 20 307
6 21 290
6 22 218
6 23 198
6 24 438
6 25 662
6 26 697
6 27 462
6 28 573
6 29 469
6 30 417
6 31 439
6 32 647
6 33 278
6 34 467
6 35 321
6 36 638
6 37 216
6 38 325
6 39 472
6 40 196
6 41 493
6 42 190
6 43 547
6 44 195
6 45 594
6 46 330
6 47 197
6 48 669
6 49 208
6 50 405
6 51 149
6 52 419
6 53 188
6 54 363
6 55 121
6 56 471
6 57 486
6 58 214
6 59 419
6 60 137
6 61 675
6 62 542
6 63 634
6 64 776
6 65 448
6 66 549
6 67 177
6 68 633
6 69 797
6 70 658
6 71 461
6 72 211
6 73 351
6 74 384
6 75 392
6 76 634
6 77 523
6 78 382
6 79 392
6 80 339
6 81 449
6 82 544
6 83 440
6 84 639
6 85 510
6 86 840
6 87 410
6 88 787
6 89 538
6 90 487
6 91 208
6 92 301
6 93 247
6 94 545
6 95 414
6 96 178
6 97 684
6 98 616
6 99 345
6 100 433
6 101 624
6 102 30
6 103 493
6 104 548
6 105 531
6 106 256
6 107 579
6 108 362
6 109 667
6 110 576
6 111 654
6 112 510
6 113 634
6 114 389
6 115 530
6 116 417
6 117 473
6 118 333
6 119 639
6 120 162
6 121 350
6 122 139
6 123 650
6 124 691
6 125 495
6 126 362
6 127 569
6 128 539
6 129 657
6 130 430
7 8 486
7 9 531
7 10 681
7 11 301
7 12 407
7 13 677
7 14 675
7 15 285
7 16 333
7 17 285
7 18 467
7 19 251
7 20 446
7 21 522
7 22 552
7 23 585
7 24 314
7 25 158
7 26 64
7 27 260
7 28 484
7 29 300
7 30 536
7 31 280
7 32 237
7 33 537
7 34 253
7 35 407
7 36 261
7 37 548
7 38 429
7 39 360
7 40 563
7 41 331
7 42 530
7 43 174
7 44 534
7 45 301
7 46 439
7 47 563
7 48 143
7 49 542
7 50 378
7 51 570
7 52 545
7 53 543
7 54 360
7 55 615
7 56 489
7 57 516
7 58 534
7 59 565
7 60 582
7 61 225
7 62 406
7 63 102
7 64 162
7 65 471
7 66 674
7 67 673
7 68 129
7 69 165
7 70 61
7 71 359
7 72 584
7 73 520
7 74 540
7 75 540
7 76 264
7 77 340
7 78 649
7 79 361
7 80 423
7 81 379
7 82 498
7 83 484
7 84 263
7 85 634
7 86 167
7 87 407
7 88 124
7 89 236
7 90 610
7 91 655
7 92 495
7 93 505
7 94 263
7 95 345
7 96 662
7 97 44
7 98 171
7 99 557
7 100 293
7 101 489
7 102 742
7 103 382
7 104 171
7 105 390
7 106 475
7 107 141
7 108 485
7 109 250
7 110 191
7 111 469
7 112 405
7 113 237
7 114 490
7 115 464
7 116 326
7 117 414
7 118 416
7 119 313
7 120 566
7 121 595
7 122 618
7 123 473
7 124 140
7 125 611
7 126 526
7 127 159
7 128 358
7 129 161
7 130 363
8 9 571
8 10 253
8 11 323
8 12 421
8 13 217
8 14 247
8 15 362
8 16 220
8 17 250
8 18 33
8 19 334
8 20 109
8 21 69
8 22 143
8 23 163
8 24 357
8 25 510
8 26 440
8 27 306
8 28 215
8 29 389
8 30 88
8 31 269
8 32 541
8 33 83
8 34 269
8 35 166
8 36 546
8 37 146
8 38 332
8 39 140
8 40 166
8 41 168
8 42 220
8 43 358
8 44 194
8 45 258
8 46 87
8 47 164
8 48 510
8 49 329
8 50 110
8 51 256
8 52 536
8 53 297
8 54 195
8 55 241
8 56 542
8 57 571
8 58 326
8 59 111
8 60 266
8 61 356
8 62 183
8 63 441
8 64 478
8 65 510
8 66 269
8 67 225
8 68 461
8 69 501
8 70 429
8 71 134
8 72 388
8 73 460
8 74 504
8 75 510
8 76 305
8 77 487
8 78 169
8 79 345
8 80 99
8 81 440
8 82 606
8 83 83
8 84 548
8 85 219
8 86 554
8 87 421
8 88 507
8 89 423
8 90 189
8 91 451
8 92 386
8 93 132
8 94 453
8 95 358
8 96 216
8 97 443
8 98 470
8 99 484
8 100 308
8 101 661
8 102 367
8 103 487
8 104 335
8 105 176
8 106 286
8 107 358
8 108 2
8 109 340
8 110 435
8 111 674
8 112 153
8 113 529
8 114 32
8 115 171
8 116 337
8 117 117
8 118 119
8 119 577
8 120 299
8 121 110
8 122 221
8 123 673
8 124 402
8 125 195
8 126 43
8 127 330
8 128 191
8 129 365
8 130 123
9 10 549
9 11 689
9 12 161
9 13 597
9 14 546
9 15 282
9 16 632
9 17 387
9 18 538
9 19 333
9 20 462
9 21 537
9 22 493
9 23 510
9 24 262
9 25 388
9 26 555
9 27 350
9 28 742
9 29 254
9 30 660
9 31 369
9 32 323
9 33 540
9 34 400
9 35 407
9 36 300
9 37 485
9 38 239
9 39 567
9 40 480
9 41 563
9 42 394
9 43 397
9 44 424
9 45 635
9 46 485
9 47 482
9 48 403
9 49 289
9 50 508
9 51 393
9 52 56
9 53 324
9 54 393
9 55 459
9 56 42
9 57 19
9 58 287
9 59 682
9 60 394
9 61 648
9 62 666
9 63 431
9 64 671
9 65 68
9 66 840
9 67 574
9 68 401
9 69 683
9 70 492
9 71 554
9 72 264
9 73 127
9 74 90
9 75 82
9 76 641
9 77 190
9 78 710
9 79 243
9 80 476
9 81 166
9 82 77
9 83 640
9 84 300
9 85 791
9 86 698
9 87 161
9 88 649
9 89 298
9 90 761
9 91 281
9 92 198
9 93 463
9 94 268
9 95 242
9 96 566
9 97 523
9 98 361
9 99 129
9 100 318
9 101 158
9 102 505
9 103 149
9 104 428
9 105 646
9 106 295
9 107 447
9 108 573
9 109 658
9 110 340
9 111 196
9 112 639
9 113 315
9 114 600
9 115 698
9 116 270
9 117 614
9 118 455
9 119 265
9 120 343
9 121 650
9 122 488
9 123 190
9 124 602
9 125 767
9 126 607
9 127 470
9 128 628
9 129 587
9 130 523
10 11 574
10 12 447
10 13 67
10 14 6
10 15 463
10 16 470
10 17 399
10 18 249
10 19 462
10 20 237
10 21 186
10 22 131
10 23 99
10 24 443
10 25 654
10 26 649
10 27 440
10 28 454
10 29 477
10 30 293
10 31 409
10 32 656
10 33 171
10 34 430
10 35 275
10 36 651
10 37 134
10 38 349
10 39 383
10 40 118
10 41 408
10 42 175
10 43 519
10 44 157
10 45 506
10 46 251
10 47 118
10 48 659
10 49 259
10 50 325
10 51 158
10 52 497
10 53 225
10 54 323
10 55 90
10 56 536
10 57 557
10 58 262
10 59 291
10 60 155
10 61 597
10 62 436
10 63 609
10 64 710
10 65 507
10 66 414
10 67 41
10 68 616
10 69 732
10 70 620
10 71 374
10 72 291
10 73 421
10 74 461
10 75 469
10 76 550
10 77 551
10 78 247
10 79 405
10 80 265
10 81 482
10 82 609
10 83 325
10 84 653
10 85 375
10 86 781
10 87 447
10 88 730
10 89 538
10 90 354
10 91 317
10 92 355
10 93 177
10 94 554
10 95 425
10 96 43
10 97 641
10 98 608
10 99 426
10 100 420
10 101 684
10 102 129
10 103 530
10 104 511
10 105 429
10 106 275
10 107 541
10 108 255
10 109 585
10 110 569
10 111 709
10 112 407
10 113 643
10 114 277
10 115 415
10 116 420
10 117 370
10 118 267
10 119 664
10 120 205
10 121 219
10 122 69
10 123 706
10 124 628
10 125 362
10 126 244
10 127 523
10 128 443
10 129 592
10 130 349
11 12 530
11 13 540
11 14 567
11 15 408
11 16 103
11 17 308
11 18 324
11 19 357
11 20 358
11 21 387
11 22 450
11 23 478
11 24 426
11 25 420
11 26 237
11 27 339
11 28 208
11 29 438
11 30 324
11 31 324
11 32 489
11 33 403
11 34 290
11 35 362
11 36 507
11 37 450
11 38 490
11 39 192
11 40 470
11 41 171
11 42 487
11 43 307
11 44 473
11 45 69
11 46 334
11 47 469
11 48 410
11 49 559
11 50 260
11 51 531
11 52 679
11 53 541
11 54 339
11 55 543
11 56 648
11 57 680
11 58 553
11 59 347
11 60 543
11 61 76
11 62 156
11 63 332
11 64 197
11 65 620
11 66 408
11 67 548
11 68 369
11 69 217
11 70 275
11 71 203
11 72 617
11 73 622
11 74 659
11 75 662
11 76 48
11 77 526
11 78 439
11 79 453
11 80 326
11 81 524
11 82 687
11 83 272
11 84 510
11 85 378
11 86 274
11 87 530
11 88 244
11 89 416
11 90 362
11 91 692
11 92 564
11 93 417
11 94 455
11 95 449
11 96 539
11 97 264
11 98 403
11 99 657
11 100 372
11 101 709
11 102 677
11 103 553
11 104 271
11 105 153
11 106 492
11 107 264
11 108 321
11 109 50
11 110 393
11 111 702
11 112 176
11 113 482
11 114 306
11 115 208
11 116 421
11 117 208
11 118 335
11 119 557
11 120 555
11 121 405
11 122 531
11 123 704
11 124 162
11 125 360
11 126 345
11 127 231
11 128 132
11 129 142
11 130 234
12 13 483
12 14 443
12 15 130
12 16 470
12 17 226
12 18 387
12 19 179
12 20 314
12 21 395
12 22 364
12 23 388
12 24 105
12 25 290
12 26 419
12 27 192
12 28 581
12 29 108
12 30 509
12 31 208
12 32 250
12 33 401
12 34 240
12 35 254
12 36 236
12 37 356
12 38 99
12 39 406
12 40 356
12 41 401
12 42 275
12 43 251
12 44 301
12 45 474
12 46 334
12 47 358
12 48 302
12 49 202
12 50 348
12 51 290
12 52 149
12 53 227
12 54 234
12 55 357
12 56 124
12 57 156
12 58 196
12 59 532
12 60 295
12 61 493
12 62 504
12 63 305
12 64 531
12 65 93
12 66 690
12 67 464
12 68 284
12 69 545
12 70 359
12 71 393
12 72 213
12 73 113
12 74 135
12 75 136
12 76 483
12 77 114
12 78 571
12 79 81
12 80 323
12 81 40
12 82 185
12 83 484
12 84 237
12 85 640
12 86 568
12 87 0
12 88 516
12 89 173
12 90 610
12 91 270
12 92 112
12 93 326
12 94 158
12 95 81
12 96 454
12 97 390
12 98 251
12 99 150
12 100 158
12 101 245
12 102 440
12 103 83
12 104 278
12 105 485
12 106 172
12 107 301
12 108 422
12 109 502
12 110 219
12 111 265
12 112 478
12 113 239
12 114 448
12 115 538
12 116 109
12 117 454
12 118 302
12 119 230
12 120 251
12 121 508
12 122 380
12 123 262
12 124 456
12 125 616
12 126 459
12 127 318
12 128 467
12 129 437
12 130 362
13 14 65
13 15 481
13 16 437
13 17 403
13 18 222
13 19 474
13 20 231
13 21 159
13 22 131
13 23 99
13 24 465
13 25 666
13 26 639
13 27 450
13 28 403
13 29 499
13 30 240
13 31 416
13 32 675
13 33 143
13 34 432
13 35 281
13 36 673
13 37 137
13 38 384
13 39 355
13 40 129
13 41 382
13 42 208
13 43 523
13 44 182
13 45 475
13 46 238
13 47 128
13 48 669
13 49 308
13 50 306
13 51 204
13 52 548
13 53 272
13 54 328
13 55 140
13 56 581
13 57 604
13 58 310
13 59 234
13 60 204
13 61 572
13 62 395
13 63 613
13 64 691
13 65 551
13 66 348
13 67 27
13 68 624
13 69 713
13 70 616
13 71 347
13 72 347
13 73 470
13 74 512
13 75 519
13 76 522
13 77 581
13 78 181
13 79 432
13 80 253
13 81 516
13 82 653
13 83 279
13 84 675
13 85 311
13 86 764
13 87 483
13 88 715
13 89 555
13 90 292
13 91 379
13 92 400
13 93 179
13 94 575
13 95 451
13 96 31
13 97 635
13 98 621
13 99 478
13 100 434
13 101 725
13 102 195
13 103 565
13 104 511
13 105 391
13 106 311
13 107 538
13 108 219
13 109 557
13 110 582
13 111 748
13 112 367
13 113 662
13 114 235
13 115 367
13 116 441
13 117 332
13 118 261
13 119 690
13 120 256
13 121 160
13 122 109
13 123 745
13 124 611
13 125 300
13 126 199
13 127 517
13 128 408
13 129 574
13 130 327
14 15 458
14 16 464
14 17 394
14 18 243
14 19 456
14 20 231
14 21 180
14 22 125
14 23 92
14 24 438
14 25 649
14 26 642
14 27 435
14 28 449
14 29 472
14 30 288
14 31 404
14 32 651
14 33 165
14 34 424
14 35 269
14 36 647
14 37 128
14 38 345
14 39 377
14 40 112
14 41 402
14 42 170
14 43 514
14 44 152
14 45 500
14 46 245
14 47 112
14 48 653
14 49 257
14 50 319
14 51 155
14 52 495
14 53 223
14 54 317
14 55 87
14 56 533
14 57 555
14 58 260
14 59 286
14 60 152
14 61 591
14 62 430
14 63 603
14 64 704
14 65 505
14 66 410
14 67 38
14 68 610
14 69 726
14 70 614
14 71 368
14 72 290
14 73 418
14 74 459
14 75 467
14 76 544
14 77 547
14 78 243
14 79 400
14 80 258
14 81 479
14 82 606
14 83 319
14 84 649
14 85 371
14 86 775
14 87 443
14 88 724
14 89 533
14 90 350
14 91 317
14 92 352
14 93 171
14 94 549
14 95 421
14 96 39
14 97 635
14 98 603
14 99 424
14 100 415
14 101 681
14 102 133
14 103 527
14 104 505
14 105 423
14 106 271
14 107 535
14 108 249
14 109 579
14 110 563
14 111 706
14 112 400
14 113 638
14 114 270
14 115 409
14 116 415
14 117 364
14 118 261
14 119 660
14 120 203
14 121 214
14 122 64
14 123 702
14 124 622
14 125 358
14 126 238
14 127 517
14 128 436
14 129 586
14 130 343
15 16 359
15 17 122
15 18 330
15 19 51
15 20 269
15 21 358
15 22 351
15 23 382
15 24 29
15 25 198
15 26 291
15 27 71
15 28 486
15 29 31
15 30 444
15 31 101
15 32 193
15 33 368
15 34 124
15 35 208
15 36 192
15 37 344
15 38 147
15 39 309
15 40 352
15 41 298
15 42 290
15 43 121
15 44 306
15 45 357
15 46 279
15 47 353
15 48 206
15 49 266
15 50 267
15 51 321
15 52 278
15 53 276
15 54 168
15 55 379
15 56 240
15 57 272
15 58 259
15 59 471
15 60 330
15 61 366
15 62 404
15 63 185
15 64 401
15 65 214
15 66 621
15 67 468
15 68 174
15 69 416
15 70 233
15 71 298
15 72 301
15 73 238
15 74 265
15 75 266
15 76 360
15 77 131
15 78 527
15 79 77
15 80 265
15 81 116
15 82 281
15 83 409
15 84 194
15 85 572
15 86 441
15 87 130
15 88 389
15 89 75
15 90 543
15 91 371
15 92 209
15 93 305
15 94 94
15 95 59
15 96 457
15 97 263
15 98 153
15 99 276
15 100 54
15 101 315
15 102 490
15 103 147
15 104 148
15 105 384
15 106 207
15 107 171
15 108 362
15 109 376
15 110 113
15 111 320
15 112 382
15 113 180
15 114 383
15 115 446
15 116 46
15 117 364
15 118 246
15 119 216
15 120 301
15 121 464
15 122 394
15 123 320
15 124 326
15 125 547
15 126 404
15 127 189
15 128 361
15 129 307
15 130 274
16 17 244
16 18 221
16 19 310
16 20 259
16 21 284
16 22 348
16 23 375
16 24 372
16 25 420
16 26 273
16 27 287
16 28 151
16 29 390
16 30 229
16 31 263
16 32 478
16 33 299
16 34 235
16 35 272
16 36 492
16 37 348
16 38 416
16 39 91
16 40 368
16 41 76
16 42 390
16 43 282
16 44 374
16 45 40
16 46 234
16 47 367
16 48 413
16 49 471
16 50 162
16 51 434
16 52 614
16 53 450
16 54 256
16 55 442
16 56 593
16 57 625
16 58 465
16 59 254
16 60 446
16 61 144
16 62 72
16 63 333
16 64 274
16 65 563
16 66 341
16 67 445
16 68 366
16 69 296
16 70 291
16 71 103
16 72 530
16 73 551
16 74 591
16 75 594
16 76 90
16 77 487
16 78 346
16 79 389
16 80 228
16 81 470
16 82 640
16 83 175
16 84 495
16 85 304
16 86 353
16 87 470
16 88 313
16 89 385
16 90 283
16 91 604
16 92 488
16 93 316
16 94 424
16 95 390
16 96 435
16 97 291
16 98 393
16 99 584
16 100 314
16 101 672
16 102 575
16 103 506
16 104 246
16 105 60
16 106 407
16 107 251
16 108 218
16 109 124
16 110 373
16 111 671
16 112 80
16 113 469
16 114 205
16 115 131
16 116 361
16 117 107
16 118 239
16 119 537
16 120 462
16 121 306
16 122 429
16 123 672
16 124 212
16 125 282
16 126 244
16 127 215
16 128 31
16 129 179
16 130 137
17 18 220
17 19 84
17 20 174
17 21 260
17 22 273
17 23 306
17 24 129
17 25 265
17 26 263
17 27 56
17 28 364
17 29 153
17 30 327
17 31 21
17 32 291
17 33 273
17 34 32
17 35 124
17 36 296
17 37 268
17 38 184
17 39 187
17 40 281
17 41 178
17 42 245
17 43 120
17 44 249
17 45 248
17 46 175
17 47 282
17 48 267
17 49 274
17 50 147
17 51 286
17 52 372
17 53 267
17 54 76
17 55 329
17 56 349
17 57 381
17 58 266
17 59 355
17 60 298
17 61 282
17 62 283
17 63 210
17 64 352
17 65 319
17 66 501
17 67 395
17 68 221
17 69 372
17 70 223
17 71 176
17 72 325
17 73 313
17 74 351
17 75 354
17 76 262
17 77 253
17 78 419
17 79 145
17 80 160
17 81 227
17 82 398
17 83 288
17 84 299
17 85 453
17 86 410
17 87 226
17 88 356
17 89 173
17 90 424
17 91 401
17 92 259
17 93 225
17 94 206
17 95 145
17 96 384
17 97 248
17 98 222
17 99 349
17 100 71
17 101 437
17 102 457
17 103 266
17 104 113
17 105 263
17 106 204
17 107 144
17 108 249
17 109 285
17 110 186
17 111 442
17 112 260
17 113 279
17 114 267
17 115 324
17 116 117
17 117 242
17 118 145
17 119 330
17 120 288
17 121 357
17 122 334
17 123 442
17 124 268
17 125 428
17 126 293
17 127 135
17 128 242
17 129 240
17 130 152
18 19 303
18 20 76
18 21 63
18 22 128
18 23 153
18 24 325
18 25 483
18 26 423
18 27 275
18 28 237
18 29 357
18 30 121
18 31 239
18 32 511
18 33 79
18 34 241
18 35 133
18 36 515
18 37 130
18 38 299
18 39 134
18 40 150
18 41 160
18 42 195
18 43 331
18 44 170
18 45 256
18 46 53
18 47 149
18 48 483
18 49 301
18 50 88
18 51 233
18 52 504
18 53 270
18 54 162
18 55 226
18 56 509
18 57 538
18 58 297
18 59 145
18 60 244
18 61 350
18 62 195
18 63 416
18 64 469
18 65 476
18 66 302
18 67 226
18 68 435
18 69 491
18 70 408
18 71 126
18 72 360
18 73 428
18 74 472
18 75 478
18 76 301
18 77 455
18 78 198
18 79 312
18 80 66
18 81 407
18 82 573
18 83 109
18 84 518
18 85 252
18 86 543
18 87 387
18 88 494
18 89 392
18 90 222
18 91 425
18 92 354
18 93 108
18 94 422
18 95 325
18 96 216
18 97 423
18 98 441
18 99 452
18 100 276
18 101 628
18 102 356
18 103 454
18 104 310
18 105 184
18 106 255
18 107 335
18 108 34
18 109 337
18 110 407
18 111 641
18 112 163
18 113 499
18 114 62
18 115 192
18 116 304
18 117 126
18 118 86
18 119 545
18 120 274
18 121 136
18 122 209
18 123 640
18 124 390
18 125 228
18 126 74
18 127 308
18 128 194
18 129 353
18 130 106
19 20 250
19 21 339
19 22 343
19 23 375
19 24 73
19 25 192
19 26 248
19 27 28
19 28 442
19 29 81
19 30 412
19 31 64
19 32 207
19 33 351
19 34 77
19 35 193
19 36 212
19 37 337
19 38 178
19 39 267
19 40 347
19 41 253
19 42 295
19 43 78
19 44 306
19 45 307
19 46 256
19 47 348
19 48 197
19 49 291
19 50 232
19 51 330
19 52 328
19 53 295
19 54 148
19 55 384
19 56 291
19 57 323
19 58 283
19 59 440
19 60 341
19 61 315
19 62 359
19 63 157
19 64 355
19 65 265
19 66 586
19 67 463
19 68 155
19 69 371
19 70 194
19 71 256
19 72 333
19 73 284
19 74 314
19 75 315
19 76 309
19 77 176
19 78 502
19 79 114
19 80 241
19 81 167
19 82 331
19 83 373
19 84 214
19 85 537
19 86 399
19 87 179
19 88 346
19 89 89
19 90 508
19 91 405
19 92 247
19 93 295
19 94 122
19 95 102
19 96 452
19 97 224
19 98 147
19 99 321
19 100 44
19 101 362
19 102 503
19 103 196
19 104 99
19 105 338
19 106 226
19 107 125
19 108 334
19 109 325
19 110 108
19 111 363
19 112 338
19 113 195
19 114 352
19 115 403
19 116 78
19 117 323
19 118 224
19 119 245
19 120 319
19 121 440
19 122 394
19 123 363
19 124 278
19 125 512
19 126 377
19 127 139
19 128 314
19 129 258
19 130 235
20 21 89
20 22 106
20 23 139
20 24 259
20 25 439
20 26 411
20 27 224
20 28 306
20 29 293
20 30 198
20 31 189
20 32 457
20 33 100
20 34 201
20 35 61
20 36 459
20 37 102
20 38 223
20 39 168
20 40 120
20 41 186
20 42 131
20 43 293
20 44 114
20 45 288
20 46 28
20 47 120
20 48 441
20 49 228
20 50 98
20 51 174
20 52 427
20 53 200
20 54 102
20 55 187
20 56 433
20 57 463
20 58 224
20 59 219
20 60 186
20 61 369
20 62 251
20 63 382
20 64 475
20 65 401
20 66 378
20 67 226
20 68 395
20 69 497
20 70 385
20 71 156
